,City,Country,Max Temp,Lat,Lng,Hotel Name
122,Kathu,TH,87.62,7.9178,98.3332,Novotel Phuket Resort
128,Victoria,HK,86.05,22.2855,114.1577,Mini Central
131,Georgetown,MY,87.75,5.4112,100.3354,Cititel Penang
136,Loa Janan,ID,88.43,-0.583,117.095,Kost Garuda
143,Sur,OM,79.61,22.5667,59.5289,Sur Plaza Hotel
145,Carnarvon,AU,80.11,-24.8667,113.6333,Hospitality Carnarvon
146,Rantauprapat,ID,87.13,2.1,99.8333,Permata Land Hotel & Resort
150,Soyo,AO,77.38,-6.1349,12.3689,Hospedaria ndozi'ame
154,Olinda,BR,76.73,-8.0089,-34.8553,Flat Quatro Rodas Olinda
169,Sumenep,ID,84.9,-7.0167,113.8667,Family Nur Hotel
173,Hithadhoo,MV,80.89,-0.6,73.0833,Scoop Guest House
175,Tucuman,AR,77.0,-26.8241,-65.2226,Hotel Premier
176,Dingle,PH,85.98,10.9995,122.6711,SEGAYA PROPERTY
178,Tautira,PF,78.28,-17.7333,-149.15,Pension Oaoa
179,Carutapera,BR,77.81,-1.195,-46.02,Lidera
181,Myitkyina,MM,76.95,25.3833,97.4,Shwe Phyu Hotel
183,Lorengau,PG,84.79,-2.0226,147.2712,Lorengau Harbourside Hotel
184,Vao,NC,78.87,-22.6667,167.4833,Hotel Kou-Bugny
186,Kuching,MY,90.01,1.55,110.3333,Hilton Kuching
194,Nampula,MZ,76.95,-15.1165,39.2666,Ruby Backpackers
199,Homestead,US,78.03,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
201,Hoa Binh,VN,87.31,20.8133,105.3383,Hoa Dao Hotel
202,Dhidhdhoo,MV,81.0,6.8833,73.1,Dhidhoo beach
204,Progreso,MX,75.11,21.2833,-89.6667,Playa Linda Hotel
216,Dharmavaram,IN,80.29,14.4333,77.7167,BALAJI LODGE
218,Patiya,BD,85.89,22.2931,91.9762,Shil para
223,Hambantota,LK,83.41,6.1241,81.1185,Bungalow 63
229,Axim,GH,77.83,4.8699,-2.2405,Axim Beach Resort And Spa
245,Ler,SS,77.07,8.3018,30.1418,Leer Humanitarian Hub
247,George Town,MY,87.75,5.4112,100.3354,Cititel Penang
250,Charters Towers,AU,75.9,-20.1,146.2667,Cattleman's Rest Motor Inn
252,Doka,SD,78.84,13.5167,35.7667,منصور عثمان
256,Alyangula,AU,82.36,-13.8483,136.4192,Groote Eylandt Lodge
257,Sungaipenuh,ID,75.13,-2.0833,101.3833,Penginapan Citra Alam
262,Acapulco,MX,78.62,16.8634,-99.8901,HS Hotsson Smart Acapulco
270,Koumac,NC,87.24,-20.5667,164.2833,Le Monitel
271,Martapura,ID,86.09,-3.4167,114.85,Montana Hotel Syariah
272,Yulara,AU,84.47,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
278,Koungou,YT,83.91,-12.7336,45.2042,Villa Netibor
281,Kavieng,PG,85.24,-2.5744,150.7967,Nusa Island Retreat
282,Aquiraz,BR,80.19,-3.9014,-38.3911,Pousada Rua Camurupim
283,Naze,JP,77.92,28.3667,129.4833,Shishime Hotel
284,Port Blair,IN,83.91,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
286,Haapiti,PF,80.33,-17.5667,-149.8667,Linareva Moorea Beach Resort
289,Itupiranga,BR,75.52,-5.1347,-49.3267,Hotel Panorama
291,Alofi,NU,78.69,-19.0595,-169.9187,Taloa Heights
295,Kavaratti,IN,81.61,10.5669,72.642,Green leaf
296,Dawei,MM,87.71,14.0833,98.2,Hotel Dawei
298,Grand Gaube,MU,82.8,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
303,Danshui,CN,84.58,22.7984,114.4672,Grand Skylight International Hotel Huizhou
306,Labuhan,ID,86.83,-6.8844,112.2051,DoubleFAG
308,Baracoa,CU,76.19,20.3467,-74.4958,Hostal Rio Miel
314,Mahebourg,MU,82.69,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
319,Waingapu,ID,86.41,-9.6567,120.2641,Pondok Wisata Elim
321,Bandarbeyla,SO,79.21,9.4942,50.8122,JABIR HOTEL
322,Conde,BR,76.46,-7.2597,-34.9075,Pousada Beija Flor
327,Mahanoro,MG,79.02,-19.9,48.8,BUNGALOW MAHAMANINA
331,Port Hedland,AU,89.65,-20.3167,118.5667,The Esplanade Hotel
339,Vavuniya,LK,86.36,8.7514,80.4971,Thampa Hotel
341,Sawakin,SD,81.37,19.1059,37.3321,فندق الدويم
348,Trenggalek,ID,82.27,-8.05,111.7167,OYO 2966 Hotel Atriaz
353,Berbera,SO,77.79,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
354,Marsh Harbour,BS,77.2,26.5412,-77.0636,Abaco Beach Resort
367,Tura,IN,77.32,25.5198,90.2201,Hotel RIKMAN Continental
370,Udayagiri,IN,76.41,20.1333,84.3833,Hotel Disha
372,Banjar,ID,88.48,-8.19,114.9675,The Hamsa Resort
373,Pemba,MZ,79.95,-12.974,40.5178,Guesthouse Samotina
381,Itarema,BR,76.75,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Mareeba,AU,79.52,-17.0,145.4333,Trinity Plains Tourist Park
389,Pontianak,ID,89.58,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
394,Lang Son,VN,81.91,21.8333,106.7333,Khai Nga Hotel
396,Srivardhan,IN,84.49,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
