City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Youghal,IE,2022-11-29 05:21:49,51.95,-7.8506,47.41,84,25,3.74
106,Mehamn,NO,2022-11-29 05:21:50,71.0357,27.8492,35.55,80,75,13.8
107,Zhigansk,RU,2022-11-29 05:21:50,66.7697,123.3711,-39.33,98,49,5.7
108,Sao Jose Da Coroa Grande,BR,2022-11-29 05:21:50,-8.8978,-35.1478,76.14,83,92,9.78
109,San Patricio,US,2022-11-29 05:21:50,28.017,-97.5169,73.27,93,100,9.37
110,Yambio,SS,2022-11-29 05:21:51,4.5721,28.3955,70.09,89,80,2.01
111,Westport,US,2022-11-29 05:20:50,41.1415,-73.3579,41.83,74,0,5.75
112,Santiago Del Estero,AR,2022-11-29 05:21:51,-27.7951,-64.2615,77.49,45,71,6.29
113,Bathsheba,BB,2022-11-29 05:21:52,13.2167,-59.5167,77.61,88,40,20.71
114,Cayenne,GF,2022-11-29 05:21:52,4.9333,-52.3333,75.24,94,75,3.44
115,Manadhoo,MV,2022-11-29 05:21:52,5.7667,73.3833,80.78,72,22,1.01
116,Whitehorse,CA,2022-11-29 05:21:52,60.7161,-135.0538,3.97,71,100,9.22
117,Souillac,MU,2022-11-29 05:21:53,-20.5167,57.5167,82.78,69,75,12.66
118,Iguguno,TZ,2022-11-29 05:21:53,-4.5697,34.6275,68.77,71,41,4.83
119,Sorrento,IT,2022-11-29 05:21:53,40.626,14.3744,56.26,77,75,4.61
120,Bijie,CN,2022-11-29 05:21:54,27.3125,105.2942,58.17,69,100,5.21
121,Qui Nhon,VN,2022-11-29 05:21:54,13.7667,109.2333,82.13,76,76,5.19
122,Kathu,TH,2022-11-29 05:21:54,7.9178,98.3332,87.62,99,51,4.16
123,Praia Da Vitoria,PT,2022-11-29 05:21:55,38.7333,-27.0667,66.45,88,75,22.97
124,Alekseyevka,RU,2022-11-29 05:21:55,50.6309,38.6903,27.03,64,99,11.56
125,Luderitz,NA,2022-11-29 05:21:55,-26.6481,15.1594,60.8,87,2,5.91
126,Matagami,CA,2022-11-29 05:21:15,49.7502,-77.6328,14.11,92,100,0.0
127,Montrose,US,2022-11-29 05:21:56,38.4166,-108.2673,31.57,50,100,21.0
128,Victoria,HK,2022-11-29 05:21:56,22.2855,114.1577,86.05,86,18,1.01
129,Rewari,IN,2022-11-29 05:21:56,28.1833,76.6167,72.27,24,30,0.4
130,Havoysund,NO,2022-11-29 05:21:57,70.9963,24.6622,35.83,82,94,9.55
131,Georgetown,MY,2022-11-29 05:19:04,5.4112,100.3354,87.75,74,20,11.5
132,Black Diamond,US,2022-11-29 05:21:57,47.3087,-122.0032,34.75,87,97,1.01
133,Titron,IN,2022-11-29 05:21:58,29.6681,77.3225,71.47,41,5,1.83
134,Nikolskoye,RU,2022-11-29 05:22:58,59.7035,30.7861,26.49,97,100,3.83
135,Inongo,CD,2022-11-29 05:22:59,-1.95,18.2667,69.73,98,100,2.95
136,Loa Janan,ID,2022-11-29 05:22:59,-0.583,117.095,88.43,64,88,1.14
137,Kutum,SD,2022-11-29 05:22:59,14.2,24.6667,65.5,28,83,3.38
138,Athens,GR,2022-11-29 05:18:42,37.9795,23.7162,52.38,82,20,10.36
139,Airai,TL,2022-11-29 05:23:00,-8.9266,125.4092,70.45,77,75,4.18
140,Khatanga,RU,2022-11-29 05:23:00,71.9667,102.5,-1.41,96,100,13.73
141,Kaitangata,NZ,2022-11-29 05:23:00,-46.2817,169.8464,59.25,75,100,7.23
142,Lompoc,US,2022-11-29 05:20:24,34.6391,-120.4579,53.49,82,0,19.57
143,Sur,OM,2022-11-29 05:23:01,22.5667,59.5289,79.61,54,0,6.33
144,Ponta Delgada,PT,2022-11-29 05:23:01,37.7333,-25.6667,68.5,94,75,20.71
145,Carnarvon,AU,2022-11-29 05:23:01,-24.8667,113.6333,80.11,61,0,14.12
146,Rantauprapat,ID,2022-11-29 05:23:02,2.1,99.8333,87.13,63,92,2.3
147,Elat,IL,2022-11-29 05:23:02,29.5581,34.9482,62.44,59,40,4.61
148,Saint George,US,2022-11-29 05:18:26,37.1041,-113.5841,40.78,50,0,1.01
149,Shar,KZ,2022-11-29 05:23:02,49.5886,81.0453,-13.68,79,4,3.85
150,Soyo,AO,2022-11-29 05:23:03,-6.1349,12.3689,77.38,87,100,5.1
151,Pangnirtung,CA,2022-11-29 05:23:03,66.1451,-65.7125,-2.2,94,100,0.63
152,Sao Joao Da Barra,BR,2022-11-29 05:23:03,-21.6403,-41.0511,73.18,92,100,16.64
153,Tasiilaq,GL,2022-11-29 05:23:03,65.6145,-37.6368,30.36,93,100,11.68
154,Olinda,BR,2022-11-29 05:23:04,-8.0089,-34.8553,76.73,78,75,9.22
155,Andros,GR,2022-11-29 05:23:04,37.8333,24.9333,57.72,79,96,1.99
156,Batagay-Alyta,RU,2022-11-29 05:23:04,67.8006,130.4114,-31.43,91,12,4.34
157,Pevek,RU,2022-11-29 05:23:05,69.7008,170.3133,15.12,78,98,10.89
158,Kichera,RU,2022-11-29 05:23:05,55.9375,110.0997,-8.1,86,100,2.15
159,Esperance,AU,2022-11-29 05:23:05,-33.8667,121.9,70.7,52,0,16.67
160,Chokurdakh,RU,2022-11-29 05:23:06,70.6333,147.9167,-22.16,97,100,7.07
161,Teguise,ES,2022-11-29 05:23:06,29.0605,-13.564,64.62,77,20,12.66
162,Tarko-Sale,RU,2022-11-29 05:23:06,64.9225,77.785,0.52,93,100,7.61
